actorid,name,sex,fname,lname
1650720,"Vest, Clayton",M,Clayton,Vest
1650862,"Vetchy, Ondrej",M,Ondrej,Vetchy
1650891,"Veto, Ron (I)",M,Ron,Veto
1651032,"Veurink, James Edward",M,James,Veurink
1651040,"Veverka, James",M,James,Veverka
1651047,"Veverka, Patrick",M,Patrick,Veverka
1651091,"Veysey, Paul",M,Paul,Veysey
1651101,"Veyts, Semyon",M,Semyon,Veyts
1651135,"Vezza, Antonio",M,Antonio,Vezza
1651148,"Vezzoli, Emanuele",M,Emanuele,Vezzoli
1651149,"Vezzoli, Francesco",M,Francesco,Vezzoli
1651156,"Vhay, Dan",M,Dan,Vhay
1651229,"Vial, Pierre (I)",M,Pierre,Vial
1651236,"Viala, Jacques",M,Jacques,Viala
1651250,"Viale, Jean Pierre",M,Jean,Viale
1651285,"Vialon, Julien",M,Julien,Vialon
1651376,"Viancos, Claudio",M,Claudio,Viancos
1651461,"Viarisio, Enrico",M,Enrico,Viarisio
1651534,"Vibert, Marcel",M,Marcel,Vibert
1651655,"Vicente, Al",M,Al,Vicente
1651659,"Vicente, Andres",M,Andres,Vicente
1651787,"Vichi, Gerry",M,Gerry,Vichi
1651788,"Vichi, Jerry",M,Jerry,Vichi
1651812,"Vicini, Eric A.",M,Eric,Vicini
1651825,"Vicioso, Fidel",M,Fidel,Vicioso
1651831,"Vicious, Cat",M,Cat,Vicious
1651834,"Vicious, Sid (I)",M,Sid,Vicious
1651859,"Vick, John (I)",M,John,Vick
1651860,"Vick, John Allen",M,John,Vick
1651862,"Vick, John Shade",M,John,Vick
1651882,"Vickaryous, Scott",M,Scott,Vickaryous
1651895,"Vickerman, Michael",M,Michael,Vickerman
1651997,"Vickery, Howard",M,Howard,Vickery
1652048,"Vico, Antonio (I)",M,Antonio,Vico
1652079,"Victa, Augusto",M,Augusto,Victa
1652082,"Victa, Val",M,Val,Victa
1652129,"Victor, Charles (I)",M,Charles,Victor
1652130,"Victor, Charles (II)",M,Charles,Victor
1652157,"Victor, Harry (I)",M,Harry,Victor
1652160,"Victor, Henry",M,Henry,Victor
1652168,"Victor, James C.",M,James,Victor
1652169,"Victor, Jarl",M,Jarl,Victor
1652212,"Victor, Ray (I)",M,Ray,Victor
1652231,"Victor, Terry",M,Terry,Victor
1652339,"Vida, Piero",M,Piero,Vida
1652361,"Vidal Bolano, Roberto",M,Roberto,Bolano
1652377,"Vidal, Albert (I)",M,Albert,Vidal
1652433,"Vidal, Darryl",M,Darryl,Vidal
1652438,"Vidal, Diego",M,Diego,Vidal
1652452,"Vidal, Eric (I)",M,Eric,Vidal
1652474,"Vidal, Gore",M,Gore,Vidal
1652572,"Vidal, Nick (I)",M,Nick,Vidal
1652678,"Vidan, Richard",M,Richard,Vidan
1652784,"Vidimsky, Karel",M,Karel,Vidimsky
1652796,"Vidler, Jay",M,Jay,Vidler
1652799,"Vidler, Steven",M,Steven,Vidler
1652815,"Vidnovic, Martin",M,Martin,Vidnovic
1652830,"Vidor, John (I)",M,John,Vidor
1652853,"Vidov, Oleg",M,Oleg,Vidov
1652863,"Vidovic, Petar",M,Petar,Vidovic
1652952,"Vieha, Mark",M,Mark,Vieha
1652958,"Viehmann, Franz",M,Franz,Viehmann
1653003,"Vieira, Carlos (I)",M,Carlos,Vieira
1653050,"Vieira, Joey D.",M,Joey,Vieira
1653060,"Vieira, Jose Ramon",M,Jose,Vieira
1653067,"Vieira, Ken",M,Ken,Vieira
1653210,"Vieluf, Vince",M,Vince,Vieluf
1653238,"Vienne, Claude",M,Claude,Vienne
1653343,"Vierikko, Vesa",M,Vesa,Vierikko
1653404,"Vierzig, Tilmann",M,Tilmann,Vierzig
1653412,"Viespoli, Antonio",M,Antonio,Viespoli
1653417,"Viesturs, Ed",M,Ed,Viesturs
1653461,"Vieville, Julien",M,Julien,Vieville
1653530,"Vigarito, Tom",M,Tom,Vigarito
1653615,"Vigil, David M.",M,David,Vigil
1653718,"Vignari, Angelo",M,Angelo,Vignari
1653719,"Vignari, Steve",M,Steve,Vignari
1653731,"Vignaux, Laurent",M,Laurent,Vignaux
1653795,"Vignola, Adam",M,Adam,Vignola
1653813,"Vignon, Jean-Paul",M,Jean Paul,Vignon
1653847,"Vigoda, Abe",M,Abe,Vigoda
1653883,"Vigran, Herb",M,Herb,Vigran
1654027,"Viitanen, Peter",M,Peter,Viitanen
1654133,"Vikander, Brian",M,Brian,Vikander
1654282,"Vila Jr., Tony",M,Tony,
1654302,"Vila, Bob",M,Bob,Vila
1654418,"Vilanch, Bruce",M,Bruce,Vilanch
1654436,"Vilanova, Pierre",M,Pierre,Vilanova
1654586,"Vilchez, Hercules",M,Hercules,Vilchez
1654614,"Vild, Karel",M,Karel,Vild
1654960,"Villa, Lazaro",M,Lazaro,Villa
1654994,"Villa, Ramon (I)",M,Ramon,Villa
1655047,"Villabajo, Ignacio",M,Ignacio,Villabajo
1655080,"Villacorta, Francis",M,Francis,Villacorta
1655083,"Villacorta, Roberto",M,Roberto,Villacorta
1655159,"Villafan, David",M,David,Villafan
1655171,"Villaggio, Paolo",M,Paolo,Villaggio
1655289,"Villalobos Jr., Reynaldo",M,Reynaldo,
1655306,"Villalobos, Fernando (II)",M,Fernando,Villalobos
1655307,"Villalobos, Francisco (I)",M,Francisco,Villalobos
1655365,"Villalona, Rafael",M,Rafael,Villalona
1655381,"Villalpando, David",M,David,Villalpando
1655448,"Villamil, Servando",M,Servando,Villamil
1655504,"Villani, Fred",M,Fred,Villani
1655516,"Villani, Michael",M,Michael,Villani
1655521,"Villani, Ralph A.",M,Ralph,Villani
1655555,"Villanova, Marco (I)",M,Marco,Villanova
1655625,"Villanueva, Enrique",M,Enrique,Villanueva
1655686,"Villanueva, Larry",M,Larry,Villanueva
1655731,"Villanueva, Robert A.",M,Robert,Villanueva
1655798,"Villar, Christopher",M,Christopher,Villar
1655861,"Villar, Roberto (II)",M,Roberto,Villar
1655898,"Villard, Franck",M,Franck,Villard
1655908,"Villard, Tom",M,Tom,Villard
1655948,"Villareal, Valentine",M,Valentine,Villareal
1655999,"Villaroel, Anthony",M,Anthony,Villaroel
1656023,"Villarreal, Daniel (I)",M,Daniel,Villarreal
1656194,"Villasenor, Christopher",M,Christopher,Villasenor
1656292,"Villavicencio, Vicvic",M,Vicvic,Villavicencio
1656326,"Villechaize, Herve",M,Herve,Villechaize
